[30-10-2023 18:28:19]ph de tipo: Errores con valor: -7
[30-10-2023 18:28:24]ph de tipo: Errores con valor: 0
[30-10-2023 18:28:29]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:11]ph de tipo: Correctos con valor: 7
[30-10-2023 18:39:16]ph de tipo: Errores con valor: 0
[30-10-2023 18:39:21]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:26]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:31]ph de tipo: Correctos con valor: 8
[30-10-2023 18:39:36]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:41]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:46]ph de tipo: Errores con valor: -1
[30-10-2023 18:39:51]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:56]ph de tipo: Correctos con valor: 8
[30-10-2023 20:50:38] [18556]ph de tipo: Correctos con valor: 6
[30-10-2023 20:50:43] [18556]ph de tipo: Errores con valor: -2
[30-10-2023 20:50:48] [18556]ph de tipo: Correctos con valor: 7
[30-10-2023 20:50:53] [18556]ph de tipo: Correctos con valor: 7
[30-10-2023 20:50:58] [18556]ph de tipo: Errores con valor: -4
[30-10-2023 20:51:03] [18556]ph de tipo: Correctos con valor: 7
[30-10-2023 20:51:08] [18556]ph de tipo: Correctos con valor: 8
[30-10-2023 20:51:20] [20328]ph de tipo: Correctos con valor: 6
[30-10-2023 20:51:25] [20328]ph de tipo: Correctos con valor: 7
[30-10-2023 20:51:30] [20328]ph de tipo: Errores con valor: -1
[30-10-2023 20:51:35] [20328]ph de tipo: Correctos con valor: 6
[30-10-2023 20:51:40] [20328]ph de tipo: Correctos con valor: 7
[30-10-2023 20:51:45] [20328]ph de tipo: Errores con valor: -2
[30-10-2023 20:51:50] [20328]ph de tipo: FueraDeRango con valor: 4
[30-10-2023 20:51:55] [20328]ph de tipo: Correctos con valor: 8
[30-10-2023 20:52:00] [20328]ph de tipo: Errores con valor: -7
[30-10-2023 20:52:05] [20328]ph de tipo: Correctos con valor: 8
[30-10-2023 20:52:10] [20328]ph de tipo: FueraDeRango con valor: 2
[30-10-2023 20:52:15] [20328]ph de tipo: Correctos con valor: 7
[30-10-2023 20:52:20] [20328]ph de tipo: Correctos con valor: 7
[30-10-2023 20:52:25] [20328]ph de tipo: Correctos con valor: 7
[30-10-2023 20:52:30] [20328]ph de tipo: Errores con valor: -2
[30-10-2023 20:52:35] [20328]ph de tipo: Correctos con valor: 6
[30-10-2023 20:54:11] [18260]ph de tipo: Correctos con valor: 6
[30-10-2023 20:54:16] [18260]ph de tipo: FueraDeRango con valor: 5
[30-10-2023 20:54:21] [18260]ph de tipo: Correctos con valor: 8
[30-10-2023 20:54:26] [18260]ph de tipo: Errores con valor: -4
[30-10-2023 20:54:31] [18260]ph de tipo: Errores con valor: -4
[30-10-2023 20:54:36] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:54:41] [18260]ph de tipo: Correctos con valor: 8
[30-10-2023 20:54:46] [18260]ph de tipo: Correctos con valor: 6
[30-10-2023 20:54:51] [18260]ph de tipo: Errores con valor: -2
[30-10-2023 20:54:56] [18260]ph de tipo: Errores con valor: -7
[30-10-2023 20:55:01] [18260]ph de tipo: Correctos con valor: 6
[30-10-2023 20:55:06] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:55:11] [18260]ph de tipo: Errores con valor: -2
[30-10-2023 20:55:16] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:55:21] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:55:26] [18260]ph de tipo: Errores con valor: -2
[30-10-2023 20:55:31] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:55:36] [18260]ph de tipo: Errores con valor: -6
[30-10-2023 20:55:41] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:55:46] [18260]ph de tipo: Errores con valor: 0
[30-10-2023 20:55:51] [18260]ph de tipo: Errores con valor: -2
[30-10-2023 20:55:56] [18260]ph de tipo: FueraDeRango con valor: 4
[30-10-2023 20:56:01] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:56:06] [18260]ph de tipo: Correctos con valor: 6
[30-10-2023 20:56:11] [18260]ph de tipo: Errores con valor: -5
[30-10-2023 20:56:16] [18260]ph de tipo: Correctos con valor: 8
[30-10-2023 20:56:21] [18260]ph de tipo: Correctos con valor: 6
[30-10-2023 20:56:26] [18260]ph de tipo: Correctos con valor: 7
[30-10-2023 20:56:36] [1848]ph de tipo: Errores con valor: -2
[30-10-2023 20:56:41] [1848]ph de tipo: Correctos con valor: 7
[30-10-2023 20:56:46] [1848]ph de tipo: Correctos con valor: 7
[30-10-2023 20:56:51] [1848]ph de tipo: Correctos con valor: 7
[30-10-2023 20:56:56] [1848]ph de tipo: Correctos con valor: 8
[30-10-2023 20:57:01] [1848]ph de tipo: Correctos con valor: 7
[30-10-2023 20:57:06] [1848]ph de tipo: Errores con valor: -3
[30-10-2023 20:57:11] [1848]ph de tipo: Correctos con valor: 7
[30-10-2023 20:57:16] [1848]ph de tipo: Correctos con valor: 6
[30-10-2023 20:57:21] [1848]ph de tipo: Correctos con valor: 6
[30-10-2023 20:57:26] [1848]ph de tipo: Correctos con valor: 8
[30-10-2023 20:57:31] [1848]ph de tipo: Errores con valor: -4
[30-10-2023 20:58:06] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:58:11] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:58:16] [1296]ph de tipo: Correctos con valor: 6
[30-10-2023 20:58:21] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:58:26] [1296]ph de tipo: Correctos con valor: 8
[30-10-2023 20:58:31] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:58:36] [1296]ph de tipo: Errores con valor: -3
[30-10-2023 20:58:41] [1296]ph de tipo: FueraDeRango con valor: 5
[30-10-2023 20:58:46] [1296]ph de tipo: Correctos con valor: 8
[30-10-2023 20:58:51] [1296]ph de tipo: Errores con valor: -2
[30-10-2023 20:58:56] [1296]ph de tipo: Errores con valor: -6
[30-10-2023 20:59:01] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:59:06] [1296]ph de tipo: Errores con valor: -6
[30-10-2023 20:59:11] [1296]ph de tipo: FueraDeRango con valor: 5
[30-10-2023 20:59:16] [1296]ph de tipo: Errores con valor: -7
[30-10-2023 20:59:21] [1296]ph de tipo: Correctos con valor: 8
[30-10-2023 20:59:26] [1296]ph de tipo: FueraDeRango con valor: 8
[30-10-2023 20:59:31] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:59:36] [1296]ph de tipo: Correctos con valor: 6
[30-10-2023 20:59:41] [1296]ph de tipo: Correctos con valor: 8
[30-10-2023 20:59:46] [1296]ph de tipo: Errores con valor: -2
[30-10-2023 20:59:51] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 20:59:56] [1296]ph de tipo: Errores con valor: -2
[30-10-2023 21:00:01] [1296]ph de tipo: Correctos con valor: 6
[30-10-2023 21:00:06] [1296]ph de tipo: Correctos con valor: 6
[30-10-2023 21:00:11] [1296]ph de tipo: Correctos con valor: 7
[30-10-2023 21:00:24] [9980]ph de tipo: Errores con valor: -1
[30-10-2023 21:00:29] [9980]ph de tipo: Correctos con valor: 6
[30-10-2023 21:00:34] [9980]ph de tipo: FueraDeRango con valor: 5
[30-10-2023 21:00:39] [9980]ph de tipo: Correctos con valor: 8
[30-10-2023 21:00:44] [9980]ph de tipo: Errores con valor: -4
[30-10-2023 21:00:49] [9980]ph de tipo: Errores con valor: -7
[30-10-2023 21:00:54] [9980]ph de tipo: Errores con valor: -4
[30-10-2023 21:00:59] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:01:04] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:01:09] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:01:14] [9980]ph de tipo: FueraDeRango con valor: 5
[30-10-2023 21:01:19] [9980]ph de tipo: Errores con valor: 0
[30-10-2023 21:01:24] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:01:29] [9980]ph de tipo: Errores con valor: -1
[30-10-2023 21:01:34] [9980]ph de tipo: Errores con valor: -1
[30-10-2023 21:01:39] [9980]ph de tipo: Errores con valor: -1
[30-10-2023 21:01:44] [9980]ph de tipo: Errores con valor: -4
[30-10-2023 21:01:49] [9980]ph de tipo: Correctos con valor: 6
[30-10-2023 21:01:54] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:01:59] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:02:04] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:02:09] [9980]ph de tipo: Errores con valor: -2
[30-10-2023 21:02:14] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:02:19] [9980]ph de tipo: Correctos con valor: 8
[30-10-2023 21:02:24] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:02:29] [9980]ph de tipo: Correctos con valor: 6
[30-10-2023 21:02:34] [9980]ph de tipo: Errores con valor: -5
[30-10-2023 21:02:39] [9980]ph de tipo: Correctos con valor: 7
[30-10-2023 21:02:44] [9980]ph de tipo: Errores con valor: -1
[30-10-2023 21:02:49] [9980]ph de tipo: Correctos con valor: 6
[30-10-2023 21:02:54] [9980]ph de tipo: FueraDeRango con valor: 1
[01-11-2023 20:24:38] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:24:43] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:24:48] [24992]ph de tipo: Errores con valor: -6
[01-11-2023 20:24:53] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:24:58] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:25:03] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:25:08] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:25:13] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:25:18] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:25:23] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:25:28] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:25:33] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:25:38] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:25:43] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:25:48] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:25:53] [24992]ph de tipo: Errores con valor: -8
[01-11-2023 20:25:58] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:26:03] [24992]ph de tipo: Errores con valor: -3
[01-11-2023 20:26:08] [24992]ph de tipo: Correctos con valor: 6
[01-11-2023 20:26:13] [24992]ph de tipo: Correctos con valor: 7
[01-11-2023 20:26:18] [24992]ph de tipo: Errores con valor: -2
[01-11-2023 20:26:23] [24992]ph de tipo: Errores con valor: -7
[01-11-2023 20:26:28] [24992]ph de tipo: Errores con valor: -5
[01-11-2023 20:26:33] [24992]ph de tipo: Correctos con valor: 8
[01-11-2023 20:26:38] [24992]ph de tipo: Correctos con valor: 7
